,SchNet_true_ES1,SchNet_pred_ES1,PaiNN_true_ES1,PaiNN_pred_ES1,Equiformer_true_ES1,Equiformer_pred_ES1,SphereNet_true_ES1,SphereNet_pred_ES1,DimeNetPlusPlus_true_ES1,DimeNetPlusPlus_pred_ES1,DimeNet_true_ES1,DimeNet_pred_ES1
ULUBPQKATUSYDH-UHFFFAOYSA-N,2.203,2.2724462,2.203,2.3240669,2.203,2.2207067,2.203,2.3073094,2.203,2.4552755,2.203,2.4418573
YCUJPNOPSDTHNX-UHFFFAOYSA-N,3.019,2.697539,3.019,3.0788105,3.019,2.9199662,3.019,3.0156543,3.019,2.9829986,3.019,3.0378768
JSJRTOIFUDPCMA-UHFFFAOYSA-N,2.55,2.4493973,2.55,2.554187,2.55,2.6226397,2.55,2.7042367,2.55,2.606438,2.55,2.6191998
DLAUWVRGKFBUKF-RANPQSIQSA-N,2.5,2.5862453,2.5,2.4670498,2.5,2.5385797,2.5,2.5696058,2.5,2.657247,2.5,2.5983374
XUSWJEHANNGCAE-KGUIKASJSA-N,3.468,3.1438904,3.468,3.231706,3.468,3.374731,3.468,3.2755868,3.468,3.2665696,3.468,3.1267614
SQWAHFKEXGQUKM-KXVFHBAHSA-N,2.112,2.5345523,2.112,2.260643,2.112,2.4232376,2.112,2.2633498,2.112,2.5256722,2.112,2.4882262
UEOVAGMCSSGHJM-TYCBJDMUSA-N,1.993,2.1548953,1.993,2.3860888,1.993,2.2621202,1.993,2.4000525,1.993,2.6245067,1.993,2.5081065
PFCOWQGOAHOBKG-UHFFFAOYSA-N,3.254,3.111588,3.254,3.2241433,3.254,3.2810197,3.254,3.3796084,3.254,3.177593,3.254,3.0497463
NNBLLKQELYOOGN-URLJSIRDSA-N,3.055,2.977336,3.055,3.1656308,3.055,3.1594791,3.055,3.1104722,3.055,3.0508676,3.055,2.9792163
MSXHBHKZZPCCOP-LIUBWCDJSA-N,2.387,2.2564247,2.387,2.602426,2.387,2.4522738,2.387,2.4262187,2.387,2.5676386,2.387,2.4260106
RTXICEGVSZGQRV-UHFFFAOYSA-N,3.273,3.1534991,3.273,3.276704,3.273,3.4074817,3.273,3.500835,3.273,3.252238,3.273,3.198987
JYRSHJWEZHJTHK-UHFFFAOYSA-N,2.623,2.7148068,2.623,2.605068,2.623,2.5340536,2.623,2.577682,2.623,2.5073788,2.623,2.6455328
LOLWSCHERWZMSO-UHFFFAOYSA-N,3.157,2.803036,3.157,3.3898468,3.157,3.2006214,3.157,3.2614815,3.157,2.9626877,3.157,2.9011862
HFTKDLMFDZECRE-UHFFFAOYSA-N,2.37,2.584581,2.37,2.4384618,2.37,2.5653188,2.37,2.6912432,2.37,2.7285244,2.37,2.3767445
HKROXKOCRYODDR-UHFFFAOYSA-N,2.966,2.907026,2.966,3.0162911,2.966,2.9949324,2.966,2.9616714,2.966,3.0563111,2.966,3.106278
GPAMQPQOMJNOQO-QGODILGESA-N,2.504,2.3362691,2.504,2.5786102,2.504,2.5856862,2.504,2.626119,2.504,2.5412724,2.504,2.4512846
ZDQGGCDVCCDLAH-UHFFFAOYSA-N,2.569,2.8734674,2.569,2.6670785,2.569,2.7761984,2.569,2.7172368,2.569,2.8770738,2.569,2.5939598
HATUITMXZGEEQA-UHFFFAOYSA-N,2.839,2.783979,2.839,2.9046085,2.839,2.9330637,2.839,3.013296,2.839,2.7772014,2.839,2.8232963
PAUPXTHKHHVKFM-UHFFFAOYSA-N,2.084,2.2738168,2.084,2.4144611,2.084,2.231593,2.084,2.3140182,2.084,2.517584,2.084,2.5276759
VTWYHKSNIQZFMS-UHFFFAOYSA-N,2.665,2.5921,2.665,2.805695,2.665,2.634593,2.665,2.64116,2.665,2.698615,2.665,2.6861296
ODGBQTZGZNLGBC-RUXFVLSJSA-N,2.531,2.383836,2.531,2.5178683,2.531,2.4079032,2.531,2.5972223,2.531,2.4252584,2.531,2.5035782
NHBICMNYNZIFHT-UAXBXZTESA-N,3.06,2.837815,3.06,2.919435,3.06,3.047333,3.06,3.0217469,3.06,2.7267263,3.06,2.8196967
UFEHTPMOEYEJFT-INRUPRTJSA-N,2.949,2.9497669,2.949,2.94545,2.949,2.9319124,2.949,2.9016922,2.949,2.9672322,2.949,3.120034
NOEHAVGWDGWKBP-UHFFFAOYSA-N,2.727,2.6102278,2.727,2.7358825,2.727,2.8651419,2.727,2.7678013,2.727,2.820017,2.727,2.731474
CTZGRLUMRILMHH-UHFFFAOYSA-N,2.531,2.3027444,2.531,2.3701425,2.531,2.5599315,2.531,2.5675647,2.531,2.5604358,2.531,2.5226686
RUKRTIKQURIPQX-UHFFFAOYSA-N,2.278,2.2298942,2.278,2.1959386,2.278,2.1433787,2.278,2.4006495,2.278,2.293538,2.278,2.3496375
GIDAAJBVUJKAHL-GNPPHVNVSA-N,2.668,2.6997457,2.668,3.107683,2.668,2.6829383,2.668,2.8195724,2.668,2.8526907,2.668,2.9869404
AXMVWORGDAOASG-UHFFFAOYSA-N,2.92,2.8557389,2.92,2.8914359,2.92,2.9100955,2.92,2.941898,2.92,2.8612628,2.92,2.9391742
FELUGWXEMUIPIX-UHFFFAOYSA-N,2.044,2.128979,2.044,2.0248652,2.044,2.1256163,2.044,2.0447907,2.044,2.1280525,2.044,2.070057
YKJVXCCLMHDLCE-XQVFDSGOSA-N,2.569,2.6910212,2.569,2.3972573,2.569,2.6434603,2.569,2.6110234,2.569,2.4562986,2.569,2.5413334
IAHWZNNPQWBBJF-KYVOTQRUSA-N,2.909,2.8063433,2.909,2.902718,2.909,2.9477072,2.909,2.8331382,2.909,3.0674598,2.909,2.798582
YFOSQXQUVNEHIS-UHFFFAOYSA-N,2.57,2.4708486,2.57,2.4187849,2.57,2.5519257,2.57,2.6517668,2.57,2.7493143,2.57,2.7972214
FHAOXQWUXWLXCF-UHFFFAOYSA-N,2.126,1.8265486,2.126,2.5128183,2.126,2.081945,2.126,2.14879,2.126,2.315685,2.126,2.195733
YZFMSYRZDLMRPS-UHFFFAOYSA-N,2.842,2.734242,2.842,2.8692753,2.842,2.7194822,2.842,2.859027,2.842,2.9297976,2.842,2.9188428
JIPPFXVPCFPFKY-UHFFFAOYSA-N,2.725,2.6722286,2.725,2.9217103,2.725,2.8940065,2.725,3.0067613,2.725,2.888988,2.725,2.7578866
CUWOPPZFZVBDTP-ZWORHOEWSA-N,2.897,2.6716044,2.897,2.7886415,2.897,2.8854635,2.897,2.9308307,2.897,2.578624,2.897,2.7249107
CAZIQDVSVDCWHQ-UHFFFAOYSA-N,3.289,3.0927107,3.289,3.0698965,3.289,3.1879764,3.289,2.998132,3.289,2.9254758,3.289,2.9847188
OHDNGDRYIJZEOB-VIATZPACSA-N,2.797,2.5543175,2.797,2.6917062,2.797,2.7153723,2.797,2.7439218,2.797,2.7803028,2.797,2.5477295
MRBUNKNSMKHPTA-YEAKOVHHSA-N,2.251,2.332124,2.251,2.2308846,2.251,2.3668082,2.251,2.3543355,2.251,2.3435748,2.251,2.3761883
GDBCLHOJWYNPLZ-YXVWGTPDSA-N,2.321,2.6862905,2.321,2.5762966,2.321,2.6224058,2.321,2.7794409,2.321,2.8233206,2.321,2.7411644
XLEYVCORAOBCLU-UHFFFAOYSA-N,3.055,2.7939496,3.055,3.087552,3.055,2.8381922,3.055,3.003015,3.055,3.1983097,3.055,2.9344616
BXBYDCKBYKZXCP-UHFFFAOYSA-N,2.213,2.344333,2.213,2.3857262,2.213,2.3039029,2.213,2.4470906,2.213,2.608894,2.213,2.4800308
DBGDOBSBXSCOFN-UHFFFAOYSA-N,2.181,2.2765543,2.181,2.1371226,2.181,2.2403116,2.181,2.2172387,2.181,2.3280118,2.181,2.4744647
MAFARFJHCQZRMS-UHFFFAOYSA-N,2.875,2.765431,2.875,2.885015,2.875,2.883319,2.875,2.8744195,2.875,2.8624218,2.875,2.8599365
LQADJMCGBOKZNC-UHFFFAOYSA-N,2.617,2.4382389,2.617,2.6464348,2.617,2.6522834,2.617,2.6418896,2.617,2.6045575,2.617,2.646742
JWEBDXCNPIGFQV-UHFFFAOYSA-N,2.113,2.161134,2.113,2.478114,2.113,2.3600414,2.113,2.379002,2.113,2.4968054,2.113,2.2278492
UFPWIQVELSSREI-UHFFFAOYSA-N,3.106,2.750385,3.106,3.1021054,3.106,3.0650337,3.106,3.0585063,3.106,2.939417,3.106,2.9524534
WWXVWQULRAPIHI-UHFFFAOYSA-N,3.164,3.1609569,3.164,3.3530967,3.164,3.1735246,3.164,3.2958407,3.164,3.1414256,3.164,3.0935535
RKXSFIXSTSLOCC-IGPZKQPZSA-N,2.69,2.6993446,2.69,2.5900674,2.69,2.6121,2.69,2.8007572,2.69,2.8918612,2.69,2.6891146
HKLSHZWHDJGMEE-UHFFFAOYSA-N,2.316,2.4145937,2.316,2.321071,2.316,2.536447,2.316,2.4190445,2.316,2.652352,2.316,2.6408277
VKBSNZGZUKATKB-UGLXFZEUSA-N,2.591,2.5330615,2.591,2.570441,2.591,2.5579565,2.591,2.5962207,2.591,2.6547241,2.591,2.5281446
HPONIDQJMGKHBS-QVDSPHEXSA-N,2.786,2.6947331,2.786,2.8245614,2.786,2.7248995,2.786,2.6646934,2.786,2.8595502,2.786,2.6829526
SOLUVIRHXLQKFS-UHFFFAOYSA-N,2.225,2.5155566,2.225,2.341502,2.225,2.439892,2.225,2.4421628,2.225,2.4089293,2.225,2.4943259
IXBFWMFFRWRFRB-UHFFFAOYSA-N,2.51,2.5726082,2.51,2.6042988,2.51,2.707938,2.51,2.6513789,2.51,2.580176,2.51,2.624171
AEJRXYRJUMNLGG-UHFFFAOYSA-N,2.072,2.4182243,2.072,2.1237411,2.072,2.1380954,2.072,2.3673027,2.072,2.3334515,2.072,2.325988
VUYVOKNNGHREFK-JOBCNZMCSA-N,2.667,2.634132,2.667,2.6591218,2.667,2.5862987,2.667,2.606704,2.667,2.7098365,2.667,2.5930064
ZEKPEFVRWRLBSQ-UHFFFAOYSA-N,2.749,2.7686477,2.749,2.8935132,2.749,2.846195,2.749,2.8266413,2.749,2.895699,2.749,2.8739471
IEYBANXXYOFVSD-UHFFFAOYSA-N,2.225,2.1992497,2.225,2.7284977,2.225,2.472294,2.225,2.3957756,2.225,2.5378678,2.225,2.4993238
GKFSGAWODBGKCH-GCTJZOBASA-N,2.913,2.8135216,2.913,2.9412196,2.913,2.938631,2.913,2.9136472,2.913,2.9929667,2.913,2.8289502
UUKORKXKQVIEAD-AEVGBRMKSA-N,2.731,2.5818722,2.731,2.8399978,2.731,2.6802263,2.731,2.7544448,2.731,2.7469237,2.731,2.8553307
CFQSGPQDEWSDRJ-OPBZITNTSA-N,3.183,3.044235,3.183,3.1271014,3.183,3.3329275,3.183,3.226701,3.183,3.2889545,3.183,2.9757695
CWCBPBXUTRFTHX-YPXUMCKCSA-N,2.889,2.8435884,2.889,2.978833,2.889,2.856591,2.889,2.8880668,2.889,2.9988108,2.889,3.0145593
LCDKYMXTYXDSQS-UHFFFAOYSA-N,3.38,3.2838552,3.38,3.3607466,3.38,3.425656,3.38,3.4297268,3.38,3.2176793,3.38,3.3042037
AEUGMDJMONZZDY-UHFFFAOYSA-N,2.084,2.2374618,2.084,2.2191966,2.084,2.1435256,2.084,2.2983985,2.084,2.3113525,2.084,2.3843372
MATILKUHRCLWTN-DEBNVXLLSA-N,2.936,2.8100047,2.936,3.0737731,2.936,2.8698823,2.936,2.9588723,2.936,3.1403391,2.936,3.1101818
BCJCSSTUARZHCS-PONZDJLKSA-N,2.848,3.0600104,2.848,3.0230658,2.848,2.9746628,2.848,2.9603634,2.848,3.1091022,2.848,3.1952176
VXEPNOGTQUWCLH-DPBBNYEGSA-N,2.699,2.7946658,2.699,2.4853747,2.699,2.5867364,2.699,2.9075155,2.699,3.0030315,2.699,2.8820906
UIEPHAZLDQBKSH-DVAGYCIVSA-N,2.304,2.3254077,2.304,2.3094563,2.304,2.3836133,2.304,2.284152,2.304,2.4151108,2.304,2.4831607
JLCGAEYDCOZYRV-SEAWODQXSA-N,2.791,2.9492404,2.791,2.9878576,2.791,2.6586227,2.791,2.803257,2.791,2.9834867,2.791,2.9687665
ZPIZGAQXZGSSMQ-UHFFFAOYSA-N,3.023,2.9368696,3.023,2.9479184,3.023,3.0147786,3.023,3.0908654,3.023,3.0955875,3.023,2.8384743
MALQKLKXQDUJME-QCFWWPLKSA-N,2.571,2.4823933,2.571,2.179556,2.571,2.4954522,2.571,2.5803561,2.571,2.5408118,2.571,2.294608
FJARTJUIVSQJBF-UHFFFAOYSA-N,2.921,2.66477,2.921,2.9412358,2.921,2.942251,2.921,2.9663484,2.921,2.7901073,2.921,2.7438016
MUIOWEKOZXNZQJ-UHFFFAOYSA-N,3.185,2.8887148,3.185,3.1458218,3.185,3.3955376,3.185,3.165258,3.185,3.044219,3.185,2.8417618
ZVHMDQPCQWLALM-UHFFFAOYSA-N,2.799,2.6436355,2.799,2.725441,2.799,2.6609042,2.799,2.688717,2.799,2.5876691,2.799,2.7087486
NMKCWRFCTXIGQN-QITGWTRHSA-N,2.48,2.3711367,2.48,2.621483,2.48,2.6163478,2.48,2.573963,2.48,2.5873938,2.48,2.6198065
BEMCVCOCNLFQSR-UHFFFAOYSA-N,3.18,3.2066238,3.18,3.276139,3.18,3.2631512,3.18,3.2778902,3.18,2.9825647,3.18,3.0052404
HTPGXKAFJZQEAZ-OHLKXVFMSA-N,2.89,2.845726,2.89,2.7371802,2.89,2.8047695,2.89,2.8152695,2.89,2.8893728,2.89,2.9737933
ILDBCYIGXIBLKB-RMYZBZNXSA-N,2.705,2.7454276,2.705,2.5791793,2.705,2.627197,2.705,2.7088447,2.705,2.6147275,2.705,2.8065712
FOKYPQSIBPYAPE-UHFFFAOYSA-N,2.676,2.6159127,2.676,2.7170768,2.676,2.7762733,2.676,2.6304362,2.676,2.516704,2.676,2.5846016
ZJEORDVUFUXNTD-NKHVPTTDSA-N,2.848,2.7447202,2.848,2.7394454,2.848,2.825049,2.848,2.9732642,2.848,2.8722527,2.848,2.951549
YRGSQOPRJGUGFW-UHFFFAOYSA-N,2.762,2.781349,2.762,2.8870912,2.762,2.8137155,2.762,2.8543808,2.762,2.8080812,2.762,2.785458
SYNZQTXIXMPGMI-LZSDMANFSA-N,3.211,2.8047714,3.211,2.964545,3.211,3.2011619,3.211,3.0322206,3.211,3.1097364,3.211,2.881974
DSYJAEPQPDNSEV-RODHXAHZSA-N,2.838,2.6647294,2.838,2.9739327,2.838,2.7963557,2.838,2.9370642,2.838,2.9069366,2.838,2.954893
BQSYTRMSYXCRDP-UHFFFAOYSA-N,3.118,2.7934766,3.118,3.002989,3.118,3.1408193,3.118,2.988031,3.118,3.031317,3.118,2.8786178
ZYBUTMXKRNBHLP-UHFFFAOYSA-N,2.926,2.8008943,2.926,3.2597835,2.926,2.9366972,2.926,3.1260376,2.926,3.0810533,2.926,3.1546571
FQBCSQONRSOOCO-ZQLOMZBUSA-N,2.872,2.8670163,2.872,2.7116477,2.872,2.8011718,2.872,2.836449,2.872,2.770635,2.872,2.8910823
YOURYBSYKYWEOG-OHUIHDMLSA-N,2.91,2.7340853,2.91,2.9945664,2.91,2.8340418,2.91,2.8710794,2.91,3.1590736,2.91,3.0678701
JITAUUMEJFKXOR-OCUJFKKWSA-N,3.189,2.9435174,3.189,3.0782504,3.189,3.0066524,3.189,2.8891826,3.189,3.0756476,3.189,2.9710057
VQNYWIDCJSNSEG-UHFFFAOYSA-N,2.38,2.5826774,2.38,2.678066,2.38,2.4472826,2.38,2.824803,2.38,2.8520896,2.38,2.7846203
LKVWSANIKGSPLB-HSWKEQASSA-N,2.732,2.8312304,2.732,2.5956604,2.732,2.6566541,2.732,2.7379177,2.732,2.931636,2.732,2.933469
SBQVYLBDQJPQKL-UHFFFAOYSA-N,3.149,2.8939455,3.149,2.9666421,3.149,3.118042,3.149,3.0821288,3.149,3.0684376,3.149,2.647018
KMEYKLXFCSXWIV-RMDWBQHCSA-N,2.635,2.147714,2.635,2.7073233,2.635,2.5473826,2.635,2.4675305,2.635,2.7237146,2.635,2.7243736
APVLPAKQIKNAKP-UHFFFAOYSA-N,1.924,2.436247,1.924,2.7266097,1.924,2.1761577,1.924,2.5816214,1.924,2.873421,1.924,2.5877376
GJIOVRBBERJYCQ-UHFFFAOYSA-N,2.885,2.7380354,2.885,2.900146,2.885,2.9652393,2.885,2.8681002,2.885,2.8500578,2.885,2.8497825
FCLIBNCSYCRRGM-BGMILDDJSA-N,2.204,2.3890219,2.204,2.0765314,2.204,2.3196158,2.204,2.430209,2.204,2.3198903,2.204,2.4625638
ZVDCJTJSGJYBII-QNVXDBMFSA-N,2.836,2.8067086,2.836,3.0101674,2.836,2.8345394,2.836,2.8806956,2.836,2.8572054,2.836,2.9736452
NHCVLCVMBFUHKK-UHFFFAOYSA-N,3.333,2.9350064,3.333,3.1893275,3.333,3.2395458,3.333,3.3339336,3.333,3.080358,3.333,3.0155663
GJYHUCCHLNZSDW-UHFFFAOYSA-N,3.427,3.4762082,3.427,3.3463764,3.427,3.4112,3.427,3.3577297,3.427,3.2746654,3.427,3.2774463
NEZOSEAOMHJUNV-RMYZBZNXSA-N,2.875,2.8120973,2.875,2.8018014,2.875,2.8462093,2.875,2.7140996,2.875,2.8854063,2.875,2.974009
AOGIHXMKHHTWAP-UHFFFAOYSA-N,2.207,2.2719927,2.207,2.5120146,2.207,2.429866,2.207,2.54603,2.207,2.5721009,2.207,2.300637
NPYJWRSRBWOVBW-UHFFFAOYSA-N,3.163,3.016828,3.163,3.2835543,3.163,3.2338824,3.163,3.189941,3.163,3.130257,3.163,3.0178075
BXUMGTQMRCTAIX-UHFFFAOYSA-N,3.002,2.7390544,3.002,3.0766077,3.002,2.9806209,3.002,3.024127,3.002,3.1898046,3.002,3.0428777
OBWWTQSFSDSXHN-CLLAMJHGSA-N,2.646,2.493573,2.646,2.6157181,2.646,2.774484,2.646,2.652712,2.646,2.9222806,2.646,2.5947678
NJTZEVDWVPTLOL-PGPDWZFKSA-N,2.697,2.5815434,2.697,2.5652385,2.697,2.516648,2.697,2.500204,2.697,2.6672173,2.697,2.5432994
GWWWIUNRBQMNEX-UHFFFAOYSA-N,2.597,2.8490148,2.597,3.2609775,2.597,3.0371318,2.597,2.9252746,2.597,3.0701816,2.597,2.9195964
BABNZTFCNFXTKU-JOOBRSBMSA-N,3.194,2.9827917,3.194,3.3062766,3.194,3.2865958,3.194,3.039056,3.194,3.002852,3.194,3.18959
ARNGNVDFQXRINO-UHFFFAOYSA-N,3.176,3.0927217,3.176,3.4531398,3.176,3.2991984,3.176,3.4309568,3.176,3.066159,3.176,3.03832
SZQHNYBEPXIZAU-UHFFFAOYSA-N,2.65,2.6470404,2.65,2.7133434,2.65,2.764056,2.65,2.6693683,2.65,2.6961515,2.65,2.7067134
TUTRQIFEHMRCOK-JIDIBDNHSA-N,2.989,2.7308595,2.989,3.0577466,2.989,3.129935,2.989,3.0189695,2.989,2.9909813,2.989,2.8127816
MLLMWYNMYZMELZ-UHFFFAOYSA-N,3.245,3.4647608,3.245,3.6201975,3.245,3.608445,3.245,3.4572482,3.245,3.3077235,3.245,3.365156
FLGGWKGGQNGIRT-UHFFFAOYSA-N,2.479,2.3300757,2.479,2.3940356,2.479,2.408107,2.479,2.7145548,2.479,2.7194269,2.479,2.6135972
IWDFXNJPXXNXAT-KWNWHHLOSA-N,2.91,2.7986267,2.91,2.7631514,2.91,2.880292,2.91,2.8211012,2.91,3.0480933,2.91,2.9071727
DRSONQHFJROOPQ-UHFFFAOYSA-N,2.922,2.8423972,2.922,3.2296803,2.922,2.9494748,2.922,3.089199,2.922,3.0844402,2.922,3.068818
UFGAKMNCTNWCEJ-FUSGEDHXSA-N,2.512,2.480115,2.512,2.6612968,2.512,2.6254292,2.512,2.6377645,2.512,2.5954616,2.512,2.760134
VMIADAAQCBGDEE-MIXUXINWSA-N,2.945,2.7568681,2.945,3.005111,2.945,2.8650138,2.945,2.8707724,2.945,3.1020806,2.945,3.0949345
MNYRNYGMRJOITI-LLJCYPMUSA-N,3.119,2.923254,3.119,3.0355396,3.119,3.0076807,3.119,3.1207833,3.119,2.6877968,3.119,2.8287873
AZVPKSSWIFUYSI-PAZNOCNKSA-N,2.347,2.4742448,2.347,2.3085148,2.347,2.4296243,2.347,2.4918582,2.347,2.471806,2.347,2.5392838
FXBXUEXJPWOLHK-UHFFFAOYSA-N,3.0,2.7268922,3.0,2.9828565,3.0,2.9283776,3.0,3.0554674,3.0,2.9214175,3.0,3.0379927
RZHCFLLQGHEDMT-HFLFNKSXSA-N,2.804,2.709967,2.804,2.8754797,2.804,2.8217053,2.804,2.887251,2.804,2.8980093,2.804,2.8546445
BPDYJJJCTQGEAT-UHFFFAOYSA-N,2.603,2.58451,2.603,2.6164334,2.603,2.552986,2.603,2.6302638,2.603,2.4869952,2.603,2.4997308
AUANFTQHWJSSIO-UHFFFAOYSA-N,2.504,2.612435,2.504,2.6537068,2.504,2.5562859,2.504,2.512573,2.504,2.6672697,2.504,2.711144
FBVQBISWEGZBMA-UHFFFAOYSA-N,2.589,2.628448,2.589,2.5460632,2.589,2.9241402,2.589,2.52413,2.589,2.7453105,2.589,2.4618938
CSIZSTDYZDETHQ-WKWYRWPASA-N,2.06,2.3948197,2.06,2.1668532,2.06,2.209999,2.06,2.1314697,2.06,1.9394132,2.06,2.533445
NGYHNNJLPGYYAK-DGDPNHTCSA-N,2.789,2.7348385,2.789,2.9691176,2.789,2.8622031,2.789,2.9050574,2.789,2.9145985,2.789,3.0271988
BRXLEGIBSMUSCJ-UHFFFAOYSA-N,2.068,2.0154147,2.068,2.1673498,2.068,2.026281,2.068,2.0539584,2.068,2.3424666,2.068,2.4137442
AFGXQGJUTRMFTG-UHFFFAOYSA-N,2.973,2.8159072,2.973,2.963182,2.973,2.930348,2.973,3.001569,2.973,3.027174,2.973,2.927129
DDWHDTDQXJKREH-AENCBEKPSA-N,2.945,2.7936099,2.945,3.0819566,2.945,3.1550176,2.945,3.0518584,2.945,2.8898838,2.945,2.7423525
DEZDWXGCUPKJEY-UHFFFAOYSA-N,3.488,3.5259528,3.488,3.5550256,3.488,3.71945,3.488,3.523109,3.488,3.6106782,3.488,3.4725332
TUTRPJFDTYQQFC-UVLLTXLESA-N,2.015,2.2004836,2.015,2.2844765,2.015,2.1925051,2.015,2.2539797,2.015,2.4857953,2.015,2.3554637
QZMLRYOQMBOURC-UHFFFAOYSA-N,2.114,2.2160537,2.114,2.25174,2.114,2.1707659,2.114,2.2338722,2.114,2.4824717,2.114,2.2904897
SRAIFMNAXNZVCN-HGNNPECPSA-N,2.401,2.371857,2.401,2.5530078,2.401,2.3110688,2.401,2.3552942,2.401,2.4892383,2.401,2.477691
QCQHAWZYSIKDLW-MYCVNHOPSA-N,2.982,2.9204905,2.982,2.972918,2.982,2.9390037,2.982,3.0406725,2.982,3.0556815,2.982,3.0387256
WLHHBRPADIPSNE-UHFFFAOYSA-N,2.424,2.6063883,2.424,2.1610544,2.424,2.5203383,2.424,2.472828,2.424,2.4345095,2.424,2.2629771
BZLXLYWPCGLPFI-YHCFINJFSA-N,2.709,2.7176359,2.709,2.5527275,2.709,2.6431565,2.709,2.893523,2.709,2.938284,2.709,2.863715
CBWBDQCKJSCYON-YGYMCPKCSA-N,2.379,2.3673766,2.379,2.5669773,2.379,2.4382946,2.379,2.5628588,2.379,2.65797,2.379,2.5590634
LGBRZFXDUPGLEK-RKCVOICOSA-N,2.69,2.5206926,2.69,2.6477888,2.69,2.707938,2.69,2.6179304,2.69,2.7731016,2.69,2.7829325
GFDCKRUDEPPFKM-PGJACHCHSA-N,2.184,2.4484978,2.184,2.317462,2.184,2.032415,2.184,2.2759478,2.184,2.3484888,2.184,2.7076037
JZKAKCFKWSSUPC-UHFFFAOYSA-N,3.315,3.0053442,3.315,3.0948985,3.315,3.2961245,3.315,3.129509,3.315,3.00004,3.315,2.8349946
LVXZGDWDDGJDJT-UXKBCNDISA-N,2.853,2.9564059,2.853,3.0617654,2.853,2.8518398,2.853,3.041748,2.853,3.1209846,2.853,3.2121096
SVNQCJALECLHLE-NPPDPXEESA-N,3.076,2.799138,3.076,3.0275686,3.076,2.9323583,3.076,3.0043838,3.076,2.8193574,3.076,2.7697334
XNSZITPTIVACBF-BOABNOFISA-N,2.296,2.45651,2.296,1.9567157,2.296,2.428561,2.296,2.4948692,2.296,2.1602297,2.296,2.0765
QLDBDARBLOVHRL-UHFFFAOYSA-N,2.074,2.1579266,2.074,1.9477113,2.074,2.1484394,2.074,2.205921,2.074,2.224466,2.074,2.2534034
UUEMJKUNWHNXEE-CLMRTPEOSA-N,2.342,2.640177,2.342,2.9017913,2.342,2.6751785,2.342,2.6125762,2.342,2.9105456,2.342,2.835309
UCFBSFOKHPBZRW-UHFFFAOYSA-N,2.951,2.6750238,2.951,2.9986517,2.951,2.9344227,2.951,3.0962393,2.951,2.885346,2.951,2.8408887
RZSCOLHCGVLPEZ-UHFFFAOYSA-N,2.084,1.9873464,2.084,2.2862794,2.084,2.1328905,2.084,2.1571617,2.084,2.324063,2.084,2.3659189
WHFQHEFWRCXBKP-UHFFFAOYSA-N,2.258,2.3026998,2.258,2.3604136,2.258,2.350286,2.258,2.43915,2.258,2.2371335,2.258,2.1183062
SOIPENLLAJGZFV-UHFFFAOYSA-N,2.897,2.8621068,2.897,3.096678,2.897,2.9451659,2.897,3.0227258,2.897,2.911751,2.897,2.9047034
ZMNDMCBLQJEIRB-UHFFFAOYSA-N,2.471,2.3753064,2.471,2.3745067,2.471,2.335513,2.471,2.4063613,2.471,2.6599882,2.471,2.5112507
CTGOIOSTKLALGT-YVHGQEKUSA-N,3.086,2.961929,3.086,3.1213477,3.086,3.1318042,3.086,3.1189704,3.086,2.9292831,3.086,2.8787057
BEQMMTYXQPNRHU-CPAZVFOMSA-N,2.609,2.4591858,2.609,2.569113,2.609,2.4583752,2.609,2.576252,2.609,2.6070764,2.609,2.5535526
KRPVDEWUXJFZNG-UHFFFAOYSA-N,3.347,2.8762393,3.347,3.1423924,3.347,3.4564915,3.347,3.1855395,3.347,3.2125418,3.347,2.9738214
AZGFSZAHXGVTRZ-UHFFFAOYSA-N,2.76,2.7285042,2.76,2.7918804,2.76,2.800712,2.76,2.7950099,2.76,2.7315056,2.76,2.7966022
SEAWWFGMBYGKPE-RHCMASHESA-N,2.684,2.6891198,2.684,2.6799116,2.684,2.7399707,2.684,2.6685898,2.684,2.6234734,2.684,2.6289208
KDJZRBFPLBUCAA-UHFFFAOYSA-N,3.179,2.8705814,3.179,3.0994453,3.179,3.213393,3.179,3.2105536,3.179,3.040623,3.179,3.0184898
HOGKDVRWUSLAAQ-KQOYITCJSA-N,2.775,2.8079755,2.775,2.8179152,2.775,2.726695,2.775,2.795095,2.775,3.0139637,2.775,2.9650514
RLZHVSHDOKDVSE-VRLPIDSUSA-N,2.36,2.4527438,2.36,2.3831902,2.36,2.2849693,2.36,2.400006,2.36,2.5339794,2.36,2.5204742
RTKSONRYOOCSHT-AEVGBRMKSA-N,2.726,2.5399334,2.726,2.6423879,2.726,2.7386067,2.726,2.5755124,2.726,2.7928631,2.726,2.6274447
BWURAIDLFVQDLV-UHFFFAOYSA-N,2.631,2.674347,2.631,2.6345026,2.631,2.5761576,2.631,2.4956288,2.631,2.640713,2.631,2.5879636
ZDSURKWAKKLLHD-IRECXSHYSA-N,2.884,2.7169101,2.884,2.686109,2.884,2.8483484,2.884,2.879212,2.884,2.7651105,2.884,2.935474
VSFMPIMYHOYNDA-UHIZKJEFSA-N,2.907,2.8024864,2.907,3.0351026,2.907,2.9834664,2.907,2.895374,2.907,3.074398,2.907,3.0134735
